icnfdr,u10,v10,skt,stl1
25.436527,-1.85921,-0.84791243,286.6609,290.2876
26.340492,-1.2283192,-0.3122766,284.50293,287.45728
16.941963,-0.6474432,-0.4486642,282.74756,286.05298
13.4636,-0.69346756,-0.53587276,283.0393,285.72485
21.543434,-0.75562423,-0.5436468,283.23608,285.85767
14.918407,-0.8821272,-0.49436426,283.8059,286.66284
13.925761,-0.9692498,-0.4392736,286.02393,287.70044
11.282455,-0.6258987,-0.6570675,284.4558,286.91382
15.682744,-1.2536783,-0.9688412,282.8274,285.95093
25.86037,-0.71150374,-0.34027886,283.3789,286.21094
31.220901,-1.2236404,-0.6396214,282.4131,285.44336
33.701023,-1.613472,-0.8921025,284.63232,287.62085
28.597633,-1.7193289,-0.9511476,286.75708,290.2019
21.521637,-2.6189795,-1.3904829,288.7036,291.8496
1.5036771,0.122958064,-1.5613203,287.32227,290.44507
1.8044125,0.043257635,-0.64740014,284.15186,287.0598
7.4456406,-0.19630098,-0.4618072,283.90967,287.30444
20.345768,-0.8244976,-0.63458115,283.9353,287.23364
8.724579,-0.84100676,-0.6564107,285.22217,287.73633
11.206459,-1.0867167,-0.6537544,284.00244,286.90308
3.0073543,-1.4838753,-0.5518073,284.53955,287.63672
3.0073543,-0.5190134,-0.37790185,284.15137,287.59082
14.10307,-0.8183741,-0.5030865,285.10864,287.94482
13.72282,-1.2456923,-0.60138845,286.43042,289.48877
21.489233,-2.29741,-1.1855211,287.16235,289.65503
27.68658,-1.0947313,-0.5321563,286.8169,289.71313
22.483639,-1.2176495,-0.43822265,287.78516,290.8994
32.2047,0.26966864,1.0374336,285.011,288.63574
31.905724,-0.44860977,-0.6369735,280.00708,284.11646
33.423843,-1.4893036,-1.1465397,281.34326,284.239
28.423843,-1.1581116,-0.703412,283.02026,285.44873
16.885685,-1.1163464,-0.76048934,283.61035,286.2351
20.92576,-1.2018452,-0.6628965,283.78223,286.41772
26.242699,-0.62775594,-0.4970172,284.0642,287.29614
28.242699,-0.720438,-0.4518451,283.8069,286.76172
18.302494,-1.1028309,-0.5711381,284.25415,286.91016
27.219143,-1.1276007,-0.6377217,285.84497,288.29565
37.941963,-2.2424164,-1.3816986,287.4336,289.7456
44.46184,-2.4531279,-1.3915634,289.6499,291.8391
44.641228,-2.3911572,-1.4316416,292.3977,294.43408
44.701023,-2.3342876,-1.63165,293.65796,297.11084
45,-1.5826578,-0.9699389,292.74658,296.49365
44.181145,-1.3904114,-0.89654166,290.75024,294.33716
42.181145,-0.79593164,-0.57115364,290.37988,293.69507
38.224735,-0.9601907,-0.6105214,289.2827,292.45264
32.05979,-0.7839851,-0.51108307,288.09985,291.01367
33.81885,-0.74927014,-0.47441405,287.4995,290.8147
33.179382,-0.46278304,-0.38906902,287.60376,290.61523
43.601467,-0.6612177,-0.5220816,286.74243,290.04517
45.119587,-0.8950552,-0.4811527,287.6338,290.75928
